Year,CAR,CET1,CoreEPS,CoreNetProfit,CoreROE,CoreTier1Capital,CorpDemandDeposits,CorpTimeDeposits,CostIncomeRatio,CreditCost,DilutedEPS,DoubtfulMigRate,Equity,GrossLoans,LoanLossReserve,NAVPS,NIIRatio,NIM,NIS,NPL,NPLRatio,NonIIRatio,NormalMigRate,OperatingIncome,ProvisionCoverage,ROA,RWA,RetailDemandDeposits,RetailTimeDeposits,SpecialMigRate,SubstandardMigRate,Tier1CAR,TotalAssets,TotalCapital,TotalLiabilities,RORWA,TotalDeposits,CorpDemandRatio,CorpTimeRatio,RetailDemandRatio,RetailTimeRatio
2020,14.84,9.52,2.42,14992.0,14.84,103263.0,361254.0,323626.0,37.96,1.24,2.43,33.03,118480.0,687715.0,27583.0,17.26,67.77,2.3,2.54,5456.0,0.79,32.23,1.5,41111.0,505.59,1.02,1084870.0,53029.0,148350.0,71.94,41.26,10.88,1626749.0,160958.0,1507756.0,1.38,886259.0,40.76,36.52,5.98,16.74
2021,15.44,10.16,3.12,19511.0,16.6,134036.0,358058.0,433533.0,36.95,1.23,3.13,44.01,149424.0,862709.0,34783.0,20.38,61.96,2.21,2.46,6619.0,0.77,38.04,1.24,52774.0,525.52,1.07,1318873.0,73357.0,140537.0,69.05,63.58,11.29,2015607.0,203587.0,1865607.0,1.48,1005485.0,35.61,43.12,7.3,13.98
2022,15.18,9.75,3.39,23143.0,15.61,151288.0,380477.0,563703.0,37.29,1.09,3.38,30.81,167626.0,1046002.0,39616.0,23.14,64.83,2.02,2.2,7846.0,0.75,35.17,1.65,57879.0,504.9,1.05,1551141.0,85265.0,197568.0,54.95,84.15,10.71,2366097.0,235407.0,2197571.0,1.49,1227013.0,31.01,45.94,6.95,16.1
2023,15.01,9.64,3.74,25426.0,15.01,174611.0,415222.0,676544.0,38.99,0.92,3.75,98.23,201195.0,1252718.0,43797.0,26.71,66.42,1.88,2.01,9499.0,0.76,33.58,2.1,61585.0,461.04,1.01,1811196.0,86716.0,326875.0,59.62,85.82,11.01,2711662.0,271772.0,2509452.0,1.4,1505357.0,27.58,44.94,5.76,21.71
2024,15.32,9.84,3.98,27302.0,13.69,205598.0,451244.0,848260.0,35.52,0.82,3.95,86.62,233151.0,1476063.0,43870.0,31.55,72.03,1.86,1.91,11267.0,0.76,27.97,3.17,66631.0,389.35,0.93,2089099.0,102963.0,392154.0,52.6,82.79,11.03,3125232.0,319988.0,2890972.0,1.31,1794621.0,25.14,47.27,5.74,21.85
2025,14.3,9.34,4.3,29434.0,13.16,219397.0,558860.0,909904.0,32.72,0.92,4.29,90.28,247324.0,1733314.0,49060.0,33.69,73.87,1.74,1.76,13147.0,0.76,26.13,2.53,71969.0,373.16,0.87,2348530.0,126633.0,384785.0,35.13,86.41,10.4,3628671.0,335875.0,3380042.0,1.25,1980182.0,28.22,45.95,6.4,19.43
