Year,CAR,CET1,CFPerShare,CoreEPS,CoreNetProfit,CoreROE,CoreTier1Capital,CorpDemandDeposits,CorpTimeDeposits,CostIncomeRatio,CreditCost,DilutedEPS,DoubtfulMigRate,Equity,FCLiquidityRatio,GrossLoans,LCR,LoanLossReserve,NAVPS,NIIRatio,NIM,NIS,NPL,NPLRatio,NonIIRatio,NormalMigRate,OperatingCF,OperatingIncome,ProvisionCoverage,RMBLiquidityRatio,ROA,RWA,RetailDemandDeposits,RetailTimeDeposits,SpecialMigRate,SubstandardMigRate,Tier1CAR,TotalAssets,TotalCapital,TotalLiabilities,RORWA,TotalDeposits,CorpDemandRatio,CorpTimeRatio,RetailDemandRatio,RetailTimeRatio
2020,16.54,12.29,16.71,3.79,97178.0,15.7,610092.0,2306134.0,1289556.0,33.3,0.98,3.79,40.17,723750.0,57.1,5029128.0,145.92,234664.0,25.36,63.7,2.49,2.4,53615.0,1.07,36.3,1.53,421328.0,290482.0,437.68,42.06,1.23,4964542.0,1400520.0,632126.0,38.12,82.37,13.98,8361448.0,821290.0,7631094.0,1.96,5628336.0,40.97,22.91,24.88,11.23
2021,17.48,12.66,7.22,4.59,119430.0,16.89,704337.0,2652817.0,1406107.0,33.12,0.7,4.61,36.1,858745.0,53.76,5570034.0,164.82,246104.0,29.01,61.56,2.48,2.39,50862.0,0.91,38.44,1.53,182048.0,331253.0,483.87,48.33,1.36,5563724.0,1557861.0,730293.0,24.11,47.5,14.94,9249021.0,972606.0,8383340.0,2.15,6347078.0,41.8,22.15,24.54,11.51
2022,17.77,13.68,22.61,5.25,137551.0,17.0,799352.0,2762671.0,1668882.0,32.88,0.78,5.26,19.72,945503.0,74.31,6051459.0,164.92,261476.0,32.71,63.3,2.4,2.28,58004.0,0.96,36.7,1.53,570143.0,344783.0,450.79,51.94,1.42,5841685.0,1983364.0,1120825.0,27.25,29.6,15.75,10138912.0,1037942.0,9184674.0,2.35,7535742.0,36.66,22.15,26.32,14.87
2023,17.88,13.73,14.19,5.61,146047.0,16.16,907308.0,2644685.0,2015837.0,32.96,0.74,5.63,55.33,1076370.0,95.9,6508865.0,198.01,269534.0,36.71,63.3,2.15,2.03,61579.0,0.95,36.7,1.21,357753.0,339123.0,437.7,56.24,1.39,6608021.0,1829612.0,1665304.0,34.95,74.09,16.01,11028483.0,1181487.0,9942754.0,2.21,8155438.0,32.43,24.72,22.43,20.42
2024,19.05,14.86,17.72,5.65,148011.0,14.45,1023048.0,2772365.0,2291188.0,31.89,0.65,5.66,60.93,1226014.0,124.47,6888315.0,227.29,270301.0,41.46,62.6,1.98,1.86,65610.0,0.95,37.4,1.39,447023.0,337488.0,411.98,59.66,1.28,6885783.0,1980251.0,2052783.0,35.06,79.04,17.48,12152036.0,1311742.0,10918561.0,2.15,9096587.0,30.48,25.19,21.77,22.57
2025,18.24,14.16,17.9,5.7,150007.0,13.42,1067560.0,2761092.0,2579124.0,31.98,0.6,5.7,75.21,1272875.0,125.78,7258058.0,220.3,267222.0,43.43,63.87,1.87,1.78,68206.0,0.94,36.13,1.35,451457.0,337532.0,391.79,60.62,1.19,7540202.0,2234851.0,2261063.0,28.66,72.51,16.51,13070523.0,1375031.0,11789624.0,1.99,9836130.0,28.07,26.22,22.72,22.99
