Year,CAR,CET1,CFPerShare,CoreEPS,CoreNetProfit,CoreROE,CoreTier1Capital,CorpDemandDeposits,CorpTimeDeposits,CostIncomeRatio,CreditCost,DilutedEPS,DoubtfulMigRate,Equity,FCLiquidityRatio,GrossLoans,LCR,LoanLossReserve,NAVPS,NIIRatio,NIM,NIS,NPL,NPLRatio,NonIIRatio,NormalMigRate,OperatingCF,OperatingIncome,ProvisionCoverage,RMBLiquidityRatio,ROA,RWA,RetailDemandDeposits,RetailTimeDeposits,SpecialMigRate,SubstandardMigRate,Tier1CAR,TotalAssets,TotalCapital,TotalLiabilities,RORWA,TotalDeposits,CorpDemandRatio,CorpTimeRatio,RetailDemandRatio,RetailTimeRatio
2020,13.01,8.74,3.21,0.86,48818.0,10.07,471251.0,1915266.0,1674846.0,26.65,1.64,0.86,70.34,469625.0,71.56,4473307.0,135.14,126100.0,9.6,77.3,2.26,2.18,73452.0,1.64,22.7,3.52,156863.0,194731.0,171.68,58.04,0.69,5393248.0,327110.0,611177.0,48.12,76.82,10.18,7511161.0,701729.0,6951123.0,0.91,4528399.0,42.29,36.99,7.22,13.5
2021,13.53,8.85,-1.54,0.97,55511.0,10.7,514078.0,1974319.0,1789956.0,29.2,1.08,0.98,58.93,511362.0,58.98,4855969.0,146.59,121471.0,10.45,72.3,2.05,1.99,67459.0,1.39,27.7,2.98,-75394.0,204557.0,180.07,59.99,0.72,5809523.0,310054.0,662255.0,32.87,77.19,10.88,8042884.0,785811.0,7400258.0,0.96,4736584.0,41.68,37.79,6.55,13.98
2022,13.18,8.74,3.99,1.05,61850.0,10.75,551863.0,1951555.0,1855977.0,30.53,1.12,1.06,78.75,550477.0,69.24,5152772.0,168.03,131202.0,11.25,71.3,1.97,1.92,65213.0,1.27,28.7,2.26,195066.0,211392.0,201.19,62.18,0.76,6315506.0,349013.0,942803.0,29.38,73.43,10.63,8547543.0,832087.0,7861713.0,0.98,5099348.0,38.27,36.4,6.84,18.49
2023,12.93,8.99,-0.02,1.13,66524.0,10.71,605156.0,2187273.0,1745094.0,32.35,0.93,1.14,88.83,602281.0,64.83,5498344.0,167.48,134517.0,12.3,69.7,1.78,1.75,64800.0,1.18,30.3,2.18,-918.0,205896.0,207.59,52.0,0.77,6727713.0,340432.0,1125384.0,36.7,83.18,10.75,9052484.0,869853.0,8317809.0,0.99,5398183.0,40.52,32.33,6.31,20.85
2024,13.36,9.72,-3.33,1.19,68062.0,9.71,687134.0,2054271.0,2062315.0,32.49,0.95,1.2,73.88,684316.0,67.23,5720128.0,218.13,139240.0,12.58,68.7,1.77,1.71,66485.0,1.16,31.3,1.68,-181032.0,213646.0,209.43,73.47,0.75,7068736.0,439965.0,1221680.0,26.44,63.28,11.26,9532722.0,944160.0,8725357.0,0.96,5778231.0,35.55,35.69,7.61,21.14
2025,12.8,9.48,7.96,1.19,69819.0,9.28,728608.0,2069377.0,2185649.0,31.61,0.89,1.2,54.61,723865.0,62.28,5862172.0,144.22,136856.0,13.01,68.0,1.63,1.6,67216.0,1.15,32.0,1.74,443082.0,212475.0,203.61,68.47,0.73,7684339.0,473380.0,1320869.0,29.37,61.36,10.9,10131028.0,983968.0,9283398.0,0.91,6049275.0,34.21,36.13,7.83,21.84
