Year,CAR,CET1,CoreEPS,CoreNetProfit,CoreROE,CoreTier1Capital,CorpDemandDeposits,CorpTimeDeposits,CostIncomeRatio,CreditCost,DilutedEPS,DoubtfulMigRate,Equity,GrossLoans,LoanLossReserve,NAVPS,NIIRatio,NIM,NIS,NPL,NPLRatio,NonIIRatio,NormalMigRate,OperatingIncome,ProvisionCoverage,ROA,RWA,RetailDemandDeposits,RetailTimeDeposits,SpecialMigRate,SubstandardMigRate,Tier1CAR,TotalAssets,TotalCapital,TotalLiabilities,RORWA,TotalDeposits,CorpDemandRatio,CorpTimeRatio,RetailDemandRatio,RetailTimeRatio
2020,16.88,13.18,0.86,314097.0,11.88,2653002.0,7455160.0,5489700.0,22.3,0.97,0.86,19.2,2893502.0,18624308.0,531161.0,7.48,73.27,2.15,1.97,293978.0,1.58,26.73,1.7,882665.0,180.68,1.0,20124139.0,5196607.0,6463929.0,36.4,60.9,14.28,33345058.0,3396186.0,30435543.0,1.56,24605396.0,30.3,22.31,21.12,26.27
2021,18.02,13.31,0.94,345899.0,12.06,2886378.0,7533110.0,5798353.0,23.97,0.86,0.95,14.3,3257755.0,20667245.0,603983.0,8.15,73.26,2.11,1.92,293429.0,1.42,26.74,1.6,942762.0,205.84,1.02,21690347.0,5390582.0,7107386.0,20.1,41.2,14.94,35171383.0,3909669.0,31896125.0,1.59,25829431.0,29.16,22.45,20.87,27.52
2022,19.26,14.04,0.96,357909.0,11.34,3121080.0,8076256.0,6594898.0,25.01,0.64,0.97,42.5,3495171.0,23212312.0,672762.0,8.81,75.57,1.92,1.73,321170.0,1.38,24.43,1.1,917989.0,209.47,0.97,22225272.0,5991387.0,8553919.0,21.0,36.6,15.64,39609657.0,4281079.0,36095831.0,1.61,29216460.0,27.64,22.57,20.51,29.28
2023,19.1,13.72,0.97,361411.0,10.58,3381941.0,7366691.0,8843237.0,26.96,0.57,0.98,77.49,3756887.0,26086482.0,756391.0,9.55,77.69,1.61,1.41,353502.0,1.36,22.31,1.05,843070.0,213.97,0.87,24641631.0,6083841.0,10481727.0,18.61,61.74,15.17,44697079.0,4707100.0,40920491.0,1.47,32775496.0,22.48,26.98,18.56,31.98
2024,19.39,14.1,0.98,364277.0,9.83,3624342.0,7158295.0,8349110.0,28.04,0.44,0.98,53.45,3969841.0,28372229.0,815497.0,10.23,77.56,1.42,1.23,379458.0,1.34,22.44,1.09,821803.0,214.91,0.78,25710855.0,6463845.0,12077665.0,17.44,59.86,15.36,48821746.0,4986531.0,44834480.0,1.42,34048915.0,21.02,24.52,18.98,35.47
2025,18.76,13.57,1.0,368126.0,9.43,3837149.0,7519087.0,8831506.0,28.05,0.5,1.0,68.89,4244259.0,30506114.0,852274.0,10.83,75.8,1.28,1.15,399013.0,1.31,24.2,0.97,838270.0,213.6,0.72,28269948.0,6935021.0,13269598.0,17.44,59.24,14.94,53477773.0,5302796.0,49205749.0,1.3,36555212.0,20.57,24.16,18.97,36.3
